ticker,current_price,ema100,ema200,52w_high,within_25_pct_high,up_days_pct_6m,one_year_return_unconventional,one_year_return_standard,return_6m,return_9m,return_12m,price_6m_ago,price_9m_ago,price_12m_ago,trading_days,data_sufficient,rejection_reasons,gate_A_trend,gate_B_proximity,gate_C_consistency,gate_D_performance,gate_pass
COFORGE.NS,1831.699951171875,1738.5010584532931,1682.4390860413125,1945.739990234375,True,53.6,111.05521163182179,10.987920114185567,8.65529953316404,18.621937390945796,10.987920114185567,1685.789794921875,1544.1494140625,1650.3597412109375,494,True,,True,True,True,True,True
HCLTECH.NS,1601.0999755859375,1527.5158444085494,1545.6683986597677,1922.0146484375,True,46.400000000000006,87.59437564466747,-12.453520048095058,-1.8569142322843901,-3.9134141631517516,-12.453520048095058,1631.3935546875,1666.3095703125,1828.8570556640625,494,True,Failed Trend Alignment (price < EMA100 or EMA100 < EMA200); Failed Performance (one_year_return_standard=-12.45% < 6.5%),False,True,True,False,False
INFY.NS,1530.5999755859375,1501.5101360819938,1536.6789881958828,1942.22119140625,True,46.400000000000006,82.88871245815463,-17.156151125262564,0.2606572788573125,-12.972331160974615,-17.156151125262564,1526.6207275390625,1758.7509765625,1847.572265625,494,True,Failed Trend Alignment (price < EMA100 or EMA100 < EMA200); Failed Performance (one_year_return_standard=-17.16% < 6.5%),False,True,True,False,False
LTIM.NS,5833.0,5427.630889886605,5339.90276060419,6651.92822265625,True,56.00000000000001,96.35043019403597,-3.6654824961818155,14.838034030979008,8.021253431618991,-3.6654824961818155,5079.32763671875,5399.86328125,6054.94287109375,494,True,Failed Performance (one_year_return_standard=-3.67% < 6.5%),True,True,True,False,False
LTTS.NS,4262.7998046875,4230.975092231617,4368.30628875466,5542.1044921875,True,43.2,81.40266880452994,-18.6128729277905,-1.6505073661739034,-11.347064080691084,-18.6128729277905,4334.33837890625,4808.41357421875,5237.68310546875,494,True,Failed Trend Alignment (price < EMA100 or EMA100 < EMA200); Failed Performance (one_year_return_standard=-18.61% < 6.5%),False,True,True,False,False
MPHASIS.NS,2797.199951171875,2756.183348549521,2713.308265851809,3134.663818359375,True,48.0,98.97877792860344,-1.0562332729025514,12.703646664749147,9.261580134096903,-1.0562332729025514,2481.9072265625,2560.0947265625,2827.060302734375,494,True,Failed Performance (one_year_return_standard=-1.06% < 6.5%),True,True,True,False,False
PERSISTENT.NS,6370.5,5657.586341563554,5533.422649643278,6634.27392578125,True,48.0,110.58790561754668,10.568711579024793,14.392471838925157,8.269361902246253,10.568711579024793,5568.9853515625,5883.93603515625,5761.57568359375,494,True,,True,True,True,True,True
TCS.NS,3119.199951171875,3124.2327836181266,3282.925634896621,4323.50927734375,False,39.2,76.06102697817121,-23.957515819761788,-9.386715193309158,-16.244792358754435,-23.957515819761788,3442.32080078125,3724.186279296875,4101.91748046875,494,True,Failed Trend Alignment (price < EMA100 or EMA100 < EMA200); Failed Proximity to High (price < 75% of 52w high); Failed Consistency (up_days=39.2% <= 40%); Failed Performance (one_year_return_standard=-23.96% < 6.5%),False,False,False,False,False
TECHM.NS,1494.699951171875,1468.183241487716,1483.0693091728451,1745.8857421875,True,48.0,88.06276237683647,-11.989090731096253,-2.680088715551887,-8.77051839337052,-11.989090731096253,1535.8624267578125,1638.395751953125,1698.3121337890625,494,True,Failed Trend Alignment (price < EMA100 or EMA100 < EMA200); Failed Performance (one_year_return_standard=-11.99% < 6.5%),False,True,True,False,False
WIPRO.NS,245.63999938964844,247.29155684076267,251.1635965221335,312.8954772949219,True,50.4,89.69876795199741,-10.627587499480917,1.2292951964157695,-20.257364680226754,-10.627587499480917,242.6570281982422,308.0409851074219,274.84991455078125,494,True,Failed Trend Alignment (price < EMA100 or EMA100 < EMA200); Failed Performance (one_year_return_standard=-10.63% < 6.5%),False,True,True,False,False
